Istasyon_No,Istasyon_Adi,YIL,AY,ORTALAMA_SICAKLIK_°C
17908,KOZAN,1982,1,9.9
17908,KOZAN,1982,2,8.4
17908,KOZAN,1982,3,11.6
17908,KOZAN,1982,4,18.1
17908,KOZAN,1982,5,23.3
17908,KOZAN,1982,6,27.0
17908,KOZAN,1982,7,28.1
17908,KOZAN,1982,8,29.4
17908,KOZAN,1982,9,27.7
17908,KOZAN,1982,10,21.5
17908,KOZAN,1982,11,13.8
17908,KOZAN,1982,12,9.4
17908,KOZAN,1982,13,19.1
17908,KOZAN,1983,1,5.9
17908,KOZAN,1983,2,7.6
17908,KOZAN,1983,3,12.0
17908,KOZAN,1983,4,16.7
17908,KOZAN,1983,5,21.8
17908,KOZAN,1983,6,25.3
17908,KOZAN,1983,7,28.7
17908,KOZAN,1983,8,28.7
17908,KOZAN,1983,9,25.1
17908,KOZAN,1983,10,19.9
17908,KOZAN,1983,11,15.9
17908,KOZAN,1983,12,11.5
17908,KOZAN,1983,13,18.3
17908,KOZAN,1984,1,10.5
17908,KOZAN,1984,2,12.3
17908,KOZAN,1984,3,14.2
17908,KOZAN,1984,4,15.5
17908,KOZAN,1984,5,22.4
17908,KOZAN,1984,6,25.8
17908,KOZAN,1984,7,28.2
17908,KOZAN,1984,8,27.0
17908,KOZAN,1984,9,26.1
17908,KOZAN,1984,10,22.9
17908,KOZAN,1984,11,14.2
17908,KOZAN,1984,12,8.7
17908,KOZAN,1984,13,19.0
17908,KOZAN,1985,1,10.1
17908,KOZAN,1985,2,5.8
17908,KOZAN,1985,3,13.1
17908,KOZAN,1985,4,17.8
17908,KOZAN,1985,5,22.3
17908,KOZAN,1985,6,25.2
17908,KOZAN,1985,7,28.5
17908,KOZAN,1985,8,30.4
17908,KOZAN,1985,9,26.9
17908,KOZAN,1985,10,19.3
17908,KOZAN,1985,11,17.2
17908,KOZAN,1985,12,11.1
17908,KOZAN,1985,13,19.1
17908,KOZAN,1986,1,10.4
17908,KOZAN,1986,2,11.6
17908,KOZAN,1986,3,14.6
17908,KOZAN,1986,4,20.0
17908,KOZAN,1986,5,19.1
17908,KOZAN,1986,6,25.1
17908,KOZAN,1986,7,27.7
17908,KOZAN,1986,8,28.8
17908,KOZAN,1986,9,27.4
17908,KOZAN,1986,10,21.4
17908,KOZAN,1986,11,13.5
17908,KOZAN,1986,12,10.1
17908,KOZAN,1986,13,19.2
17908,KOZAN,1987,1,10.2
17908,KOZAN,1987,2,12.6
17908,KOZAN,1987,3,9.8
17908,KOZAN,1987,4,15.9
17908,KOZAN,1987,5,20.4
17908,KOZAN,1987,6,25.3
17908,KOZAN,1987,7,28.2
17908,KOZAN,1987,8,28.5
17908,KOZAN,1987,9,27.3
17908,KOZAN,1987,10,20.9
17908,KOZAN,1987,11,14.8
17908,KOZAN,1987,12,10.8
17908,KOZAN,1987,13,18.7
17908,KOZAN,1988,1,9.8
17908,KOZAN,1988,2,10.6
17908,KOZAN,1988,3,11.5
17908,KOZAN,1988,4,17.6
17908,KOZAN,1988,5,21.8
17908,KOZAN,1988,6,24.6
17908,KOZAN,1988,7,30.6
17908,KOZAN,1988,8,29.2
17908,KOZAN,1988,9,26.3
17908,KOZAN,1988,10,20.3
17908,KOZAN,1988,11,11.9
17908,KOZAN,1988,12,10.7
17908,KOZAN,1988,13,18.8
17908,KOZAN,1989,1,7.7
17908,KOZAN,1989,2,10.7
17908,KOZAN,1989,3,15.0
17908,KOZAN,1989,4,22.2
17908,KOZAN,1989,5,23.6
17908,KOZAN,1989,6,24.8
17908,KOZAN,1989,7,28.5
17908,KOZAN,1989,8,28.0
17908,KOZAN,1989,9,25.8
17908,KOZAN,1989,10,20.2
17908,KOZAN,1989,11,15.0
17908,KOZAN,1989,12,10.1
17908,KOZAN,1989,13,19.3
17908,KOZAN,1990,1,8.3
17908,KOZAN,1990,2,10.0
17908,KOZAN,1990,3,14.6
17908,KOZAN,1990,4,17.2
17908,KOZAN,1990,5,21.9
17908,KOZAN,1990,6,25.8
17908,KOZAN,1990,7,28.1
17908,KOZAN,1990,8,28.3
17908,KOZAN,1990,9,25.9
17908,KOZAN,1990,10,22.5
17908,KOZAN,1990,11,17.3
17908,KOZAN,1990,12,12.2
17908,KOZAN,1990,13,19.4
17908,KOZAN,1991,1,9.5
17908,KOZAN,1991,2,9.6
17908,KOZAN,1991,3,14.7
17908,KOZAN,1991,4,17.5
17908,KOZAN,1991,5,20.3
17908,KOZAN,1991,6,25.3
17908,KOZAN,1991,7,28.0
17908,KOZAN,1991,8,28.5
17908,KOZAN,1991,9,26.7
17908,KOZAN,1991,10,22.3
17908,KOZAN,1991,11,15.8
17908,KOZAN,1991,12,9.3
17908,KOZAN,1991,13,19.0
17908,KOZAN,1992,1,7.5
17908,KOZAN,1992,2,6.2
17908,KOZAN,1992,3,11.4
17908,KOZAN,1992,4,17.2
17908,KOZAN,1992,5,20.5
17908,KOZAN,1992,6,23.5
17908,KOZAN,1992,7,26.5
17908,KOZAN,1992,8,28.5
17908,KOZAN,1992,9,25.7
17908,KOZAN,1992,10,22.7
17908,KOZAN,1992,11,15.3
17908,KOZAN,1992,12,8.6
17908,KOZAN,1992,13,17.8
17908,KOZAN,1993,1,9.1
17908,KOZAN,1993,2,8.8
17908,KOZAN,1993,3,13.1
17908,KOZAN,1993,4,16.9
17908,KOZAN,1993,5,19.7
